1	西部最大三文鱼加工中心忙翻了	赖永强;陈碧红		2026-02-25	四川日报	报纸	三文鱼;加工中心;	“你们是来应聘的吗？” “啊？不是，我们是来找董事长的，今天约好了采访。” “今天来应聘的人太多了，有几十上百个……” 农历正月初七，春节假期最后一天。下午1点半，四川美沿远洋食品有限公司大门外，门卫和四川日报全媒体采访组进行了一次有意思的对话。 这家三文......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDOq2VeP8XgG4ysHwp8JpNG9xZ74fQJVuyy_NW3w2-NGoryE_NPPMyJnbMeDHC72V_gDnvBJM3cQsrdXTwPehcBvMk22LdItRzFtrGwuFIcZtZhARTV_XPmxY0MbKgfs9PKeNF8ceeJNIa564nYGwEu_CZO3U1aNfMDfKiEzbmdKLQ==&uniplatform=NZKPT&language=CHS
2	提质创优，农业经济稳健增长	许静;蒋月阳		2026-02-06	日照日报	报纸	三文鱼;核心优势;生产力;	季季接续，稳扎稳打。 2025年，日照经济顶压前行，交出一份含金量十足的成绩单。作为“基本盘”“压舱石”，农业经济功不可没。 数据印证着发展脉动――2025年，全市农林牧渔业总产值达464.72亿元，同比增长5.0%，增速居全省第1位! 亮眼的成绩背后，是农业经济内生动力加......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDOq2VeP8XgG4ysHwp8JpNG9xZ74fQJVuywRjr0HdbcGgDQCMFgxVOlFJb5Ulwr_3R0T1nSMaAY9YZ6dOazkiU8eDRfwJ3Irh5UZI9i-xb8Oj-aKz6nRRuAWJ00kxXlhy-kez9g3KZwjN0MGroU6pFibOljBxvOjaPwc5W1yTOqg_A==&uniplatform=NZKPT&language=CHS
3	北繁南养，三文鱼与大黄鱼做邻居	赵琛璋;张源		2026-02-05	浙江日报	报纸	三文鱼;北繁南养;大黄鱼;	2月4日，千余尾国产三文鱼“安家”温州南麂岛海域刚刚满月。这批三文鱼先在山东日照陆基养殖一年后，才南下“入托”来到南麂岛海域接力养殖，跟大黄鱼当起了邻居。 “这是我省首次开展三文鱼‘北繁南养’海上规模化养殖试验。”省水产技术推广总站负责人告诉我们，所谓“北......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDOkuxVOJRSbKNwSFolv_N_4Xar54IVfsFvLpjKdplKMkgMi9zC5x9ZxgdehrnLap6P7at5QFaaQjvvAQzvfN1cH0XlXRXiXjyHCHPm86zmvQR-UjhmS0s6zTUAWVI_K6fo7ChvWT035VGHrLNkWVwcFjWH15y8OokL6_qT45n4vEA==&uniplatform=NZKPT&language=CHS
4	日照：改革引领的高质量发展生动实践	宋洪飞;夏宗伟;宋庆艳;尹明波		2026-02-04	中国改革报	报纸	山东省;产业链;消费场景;产业集群;三文鱼;	鲁东南，黄海之滨，日照――这座1989年始建的年轻城市，始终以“日出初光先照”的蓬勃朝气谱写着日升月异的新篇章，“十四五”期间更是交出了一份厚重的靓丽答卷：港产城，从物理叠加走向化学融合；传统产业，在“新质生产力”淬炼下蝶变升级；文体旅康，多元业态绘就“阳光......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDOkuxVOJRSbKNwSFolv_N_4Xar54IVfsFtzjWJEw1gu1M_3deZXbdv2j7A2W9CHPe1KTJk6V-NEudGFnyQDIghfJVg6gFawvQpewhylfz8y8VBvlGUXoH5IsJ0PqpqItvz4bOQNNbLJeid1MxLSAd68oDa4-cMY0TRlgqD8gAAHoA==&uniplatform=NZKPT&language=CHS
5	锚定州情践实干 城乡蝶变启新程	赛伟		2026-01-31	海南报	报纸	乡村发展;海南州;贵德县;共和县恰卜恰镇;三文鱼;常牧镇;	“十四五”时期,海南州立足“重、多、美、好”州情定位,以国土空间规划为引领,紧扣生态保护、城乡发展、乡村振兴协同推进主线,持续加大基础设施与民生工程投入力度,实打实推动发展空间优化升级,城乡面貌展现了美美与共的新图景。4.45万平方公里的高原大地上,生态底色愈发厚重......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDOkuxVOJRSbKNwSFolv_N_4Xar54IVfsFtPuy0yHl17mZh_M_vq0OltIr8duE5OIh7d8dscLFVA-VNQUiSaO7azyKbwBthg1jBro6XN6RE4P5d-tpI0MVPe_-8mibz6L0psAtACiGyR97uhtL6L62hbb2TsFupd4d12fOTUDpfvBw==&uniplatform=NZKPT&language=CHS
6	逐梦深蓝 拓展向海图强新空间	陈潇		2026-01-22	日照日报	报纸	新空间;市政协;三文鱼;	向海图强，逐梦深蓝。拓展向海图强新空间，成为市两会代表委员们关注热议的焦点之一。从海洋资源的开发利用，到推动三文鱼全产业链发展，再到海洋信息化、智能化建设，代表委员们各抒己见，建言献策。 “听到政府工作报告中关于推动三文鱼全产业链发展的部署时，我心里一下......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDOkuxVOJRSbKNwSFolv_N_4Xar54IVfsFt8znV-rr_fGWlQG7yqZduyZKN6c36tKVqPyOblvC5x35Kd-zfIOkvv4dQoIHR6MVJZ_t8sbdH5ch2vZJqzRhAPSOAcJz0r5TOuuudSeW40hOwoSPXTY4CQxODeNREAMgE1A5cFduZPxA==&uniplatform=NZKPT&language=CHS
7	鱼肥市旺 新疆“鲜”达四方	钟强;景丽君;马海玲;阿曼・景克斯;拉扎提・达吾来提别克		2026-01-21	新疆日报(汉)	报纸	渔业基地;冷水鱼;池塘养殖;三文鱼;帕哈太克里乡;茫丁乡;福海县;喀什市;乌伦古湖;	喀什“鲜味”正满足更多消费者的味蕾，乌伦古湖特色湖鲜搭乘电商“快车”“游”向全国……隆冬时节的新疆，各地渔业生产企业和养殖户生产热情依然不减，他们正抓紧时间，让一条条鲜鱼快速进入市场，走上百姓餐桌。 新疆拥有4600余万亩宜渔水域，特别是高山冰雪融水形成的冷......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDPzPe4X-mZSKGzglfWgVXKW2IzDSSPCj5r33iHfaBRhxv33ACDAyoeHbYbWAu-HPhlHh1TeGj4-UnRxmoQdIRGq1O_H0rz8000TFUF1QJ1K8W7i1Vqi5mG4OeiqSM_RnibLrbXwdrgBcXF_bIvZKUsEufAK3WMLEkMwIusX1Qe50g==&uniplatform=NZKPT&language=CHS
8	“攀高向新”开新局	姚文凤		2026-01-21	日照日报	报纸	岚山港;民生福祉;产业升级;项目清单;城乡融合;热耦合;三文鱼;	深冬的寒意，掩不住岚山这片热土上涌动的发展激情。在区委经济工作会议现场，一种“等不起、慢不得”的紧迫感与“顶压奋进、攀高向新”的豪情交织共振，勾勒出这座滨海新城新一年的奋进图景。 去年，在经受了产业结构深度调整、大宗商品价格波动等多重考验后，岚山全年GDP预......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDPzPe4X-mZSKGzglfWgVXKW2IzDSSPCj5rFb19Pwi8UTXKrL6Wm82KPqYUg3M-g9-zjgjIpJU2_GqZtgdbKaOI9SXxzGZnQmLGE_68LmS-QqneS8gR3Fw9CfVyd00pnvchgg0xMo-JhQaYOSfwixvYIbUBnESQi7qM5PoZcQJZJAg==&uniplatform=NZKPT&language=CHS
9	成都外贸增量从何来？	杨富		2026-01-20	成都日报	报纸	航空口岸;外贸主体;冰鲜三文鱼;出口业务;	1月19日，最新的四川外贸“成绩单”公布。在2025年全年外贸数据中，有两组数据尤为抢眼：一是外贸主体规模同比增长一成多，首次突破1万家，创历史新高；二是成都航空口岸进出口货物首次突破7000亿元，也创历史新高，占全国空运比重提升。 这两项外贸数据为何能够创历史新高......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDPzPe4X-mZSKGzglfWgVXKW2IzDSSPCj5rj8VyL_cXNwLziCXFMiPY2GspzyGDV2JfDUE0VQj0WLsM7wkSWIiUjHPD1Lif4y2X30gKgS1nkfhhJ5qEjjXY06duTfF-XVEeteLdrpcF-0BBAPc7S56iwd0MONF9tQbSfl6vChBfDhA==&uniplatform=NZKPT&language=CHS
10	共和奏响多业融合发展新曲	祁万强;王菲菲;程宦宁;李兴发		2026-01-15	青海日报	报纸	示范园;产业融合;共和县;青稞啤酒;融合发展;农畜产品;食品加工企业;三文鱼;	三文鱼丸、牦牛肉丸香气扑鼻，油炸麻花、烘烤面包新鲜出炉，青稞啤酒生产线即将启动…… “十五五”开局之年，走进海南藏族自治州共和县产业融合发展示范园，一派热火朝天的生产景象，高原特色农畜产品在这里找到了产业化新出路。 冷水鱼“游”出深加工之路 1月14日中午，......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMbK8DLuTbaw4Im5nppgNLcg0UgcZtwiq8Ou75fTnwtdhA0oFIr13dFbDopuzikkdfZxx5imdzQvDqK2004PbrD_AbkY0mOakcs8kNZZvkP3KUnpxykCG2d8Oq_PUxf4_cy6F9F7QmitnHSALTGuhAVrCKeNnaShiaPdbcnsTSwQw==&uniplatform=NZKPT&language=CHS
