1	提升口岸服务能级 成都打出“加减乘法”组合拳	杨富		2026-02-28	成都日报	报纸	跨境电商;三文鱼;减乘法;组合拳;	2月27日，四川首个空港型综保区——成都天府国际空港综保区正式封关运行。这进一步完善了开放平台布局，为成都打造全方位门户复合型国际航空枢纽补齐了保税功能，成都“三区四园”组成的高能级保税平台由此全面成形。 近年来，从打造三文鱼等特色单品进口集散中心，到打通进......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3ZC_FurznGnygq8Ww_AiUbw-izD2tc1rn2ZrEVOQFfG7dWXbVtNzSADY8kTj9pEmils1hk30ACju6cOcyyEkdsY2as2HzTg0XVYeDJsRcHVOfXJHd5q022HTdKmqGdFvQ3luNGuB5e2FPUuiy2tjHkckAlPLeZGMsJdxdotgSTgw==&uniplatform=NZKPT&language=CHS
2	西部最大三文鱼加工中心忙翻了	赖永强;陈碧红		2026-02-25	四川日报	报纸	三文鱼;加工中心;	“你们是来应聘的吗？” “啊？不是，我们是来找董事长的，今天约好了采访。” “今天来应聘的人太多了，有几十上百个……” 农历正月初七，春节假期最后一天。下午1点半，四川美沿远洋食品有限公司大门外，门卫和四川日报全媒体采访组进行了一次有意思的对话。 这家三文......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3ZC_FurznGnygq8Ww_AiUbw-izD2tc1rmQKa_FvFifR-lGP7cjxdbcRBbW8vdIASE8a6QdB-RqgilbcDwvL9vBVDSO01iw5JGvw2-WuWF_xXX9EYd21TWZSiVxUlSLQPRt7-xrKbmQHfzicRx0Qytw5D64-evifdpG8fRj-QMpfQ==&uniplatform=NZKPT&language=CHS
3	腐植酸、三文鱼多肽氨基酸的互作效应及其与复合肥配施对番茄产量和品质的影响	李士兆;刘涵宇;贾丽娜		2026-02-20	腐植酸	期刊	腐植酸;三文鱼多肽氨基酸;互作机制;番茄;产量;品质;	为揭示功能性肥料中腐植酸(HA)与三文鱼多肽氨基酸(SPA)的互作机制，以番茄为供试作物，采用随机区组设计开展田间试验，系统探究二者在化学结合、土壤调控及作物生理方面的协同效应。结果表明：HA与SPA通过羧基-氨基缩合反应及氢键形成稳定复合物，24 h游离氨基酸释放率较单独SPA降低32.5%，显著提升养分缓释性能；二者协同改良土壤理化性质，有机质含量提升25.3%、脲酶活性增加45.3%；二者协同促进番茄生长，叶绿素含量提升24.0%、超氧化物歧化酶(SOD)活性增强31.2%，同时改善果实品质。HA与SPA质量比1∶1时协同效应最强，番茄总产量较普通配方肥增加25.3%。本研究明确了二者多维度互作规律，为动物源多肽-腐植酸复合功能性肥料配方设计及产业化应用提供核心科学依据。	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1L3ojDxLmh-NpXPmF4azad1s0AgbgXVWI5zYZvMkHWNr1jcO43GfQyChCfC7kiUZ4BAMHNTOSdrA9NE8Ao6Or6XvAGA6atCtzrfNt0JRrtFWfMxJD1l_caETOf-6VbwY9uWOCircsg6z56z7h_pl2EniWR3-t1_i308piB86r36w==&uniplatform=NZKPT&language=CHS
4	提质创优，农业经济稳健增长	许静;蒋月阳		2026-02-06	日照日报	报纸	三文鱼;核心优势;生产力;	季季接续，稳扎稳打。 2025年，日照经济顶压前行，交出一份含金量十足的成绩单。作为“基本盘”“压舱石”，农业经济功不可没。 数据印证着发展脉动——2025年，全市农林牧渔业总产值达464.72亿元，同比增长5.0%，增速居全省第1位! 亮眼的成绩背后，是农业经济内生动力加......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1L3ojDxLmh-NpXPmF4azadaygDX8fH1GX4OZ4VKM59z8fqX0X8RY35AWMt0BXYw0w8KKjM0J8cJKn2WiuZj_gyswcvEW9TAkQYcbMihzR4r8RNvjtZ6qhhwSZPAgM7ayjMsGbRIku7jTHUlr4Inuk13sN4QSzNpyepjCTEo2UBiw==&uniplatform=NZKPT&language=CHS
5	北繁南养，三文鱼与大黄鱼做邻居	赵琛璋;张源		2026-02-05	浙江日报	报纸	三文鱼;北繁南养;大黄鱼;	2月4日，千余尾国产三文鱼“安家”温州南麂岛海域刚刚满月。这批三文鱼先在山东日照陆基养殖一年后，才南下“入托”来到南麂岛海域接力养殖，跟大黄鱼当起了邻居。 “这是我省首次开展三文鱼‘北繁南养’海上规模化养殖试验。”省水产技术推广总站负责人告诉我们，所谓“北......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1L3ojDxLmh-NpXPmF4azadaygDX8fH1GXh8CXHkwYBSAxqDtTKd_HbVp_mRGqxtWzwLQzIAAq2p3WTcCDLiYpNmMJrItsp62MQHP55Nf7Q7k7e7XAfKMgfk33mwKQZt8zCWqaz4lJ-3uqcgb-Yq8B8kjBCCwSwI7ERoRxr3MFzIw==&uniplatform=NZKPT&language=CHS
6	让“洋年货”直达百姓餐桌	詹典;苗一鑫;顾雪峰;方星;刘京西		2026-02-05	中国国门时报	报纸	三文鱼;海关关员;车厘子;进口量;广州白云机场;跨境电商;帝王蟹;一带一路;通关手续;生鲜产品;水产品;广州南沙;海关监管;	年味渐浓添喜色,环球好物聚新春。年关将至,各大口岸一派繁忙景象,来自全球各地的“洋年货”密集运抵,为中国年带来异国风味。海关紧扣百姓消费需求,以严密监管守护“舌尖上的安全”,以精准服务助力企业顺畅进口,以指定监管场地为支撑实现“一站式”高效验放,多措并举护航美味......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1L3ojDxLmh-NpXPmF4azadaygDX8fH1GX-y3PyTy6FowtzprihxmrKLv2Ub0Kru431DZXI-_hho4b_boVPyO6TFgKZQQ-8jN4HUs5S5cHf0zZgdBloOQ96RbixrMQFFSjZo3K1e3xKD4niTkL17IASVyrSWlbSWZgThZe_6UlAJttCOX12seBr&uniplatform=NZKPT&language=CHS
7	日照：改革引领的高质量发展生动实践	宋洪飞;夏宗伟;宋庆艳;尹明波		2026-02-04	中国改革报	报纸	山东省;产业链;消费场景;产业集群;三文鱼;	鲁东南，黄海之滨，日照——这座1989年始建的年轻城市，始终以“日出初光先照”的蓬勃朝气谱写着日升月异的新篇章，“十四五”期间更是交出了一份厚重的靓丽答卷：港产城，从物理叠加走向化学融合；传统产业，在“新质生产力”淬炼下蝶变升级；文体旅康，多元业态绘就“阳光......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0oPA6De0Dlb1t7tKg_2Dln_BPDMd3b2stYxp88LwdzYv2T0WR0JfxO9l_kHl1GmNDZkJKlSp8sxBoqsxfs7qRrTmQa1VlIAyJRQ28FAjQZB-CkKdccGffODNcrQj4lYqUFuv1lEpdQjfZzqs-AVNUsqnAj9b12b4vH0A3DKF2Uxw==&uniplatform=NZKPT&language=CHS
8	锚定州情践实干 城乡蝶变启新程	赛伟		2026-01-31	海南报	报纸	乡村发展;海南州;贵德县;共和县恰卜恰镇;三文鱼;常牧镇;	“十四五”时期,海南州立足“重、多、美、好”州情定位,以国土空间规划为引领,紧扣生态保护、城乡发展、乡村振兴协同推进主线,持续加大基础设施与民生工程投入力度,实打实推动发展空间优化升级,城乡面貌展现了美美与共的新图景。4.45万平方公里的高原大地上,生态底色愈发厚重......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0oPA6De0Dlb1t7tKg_2Dln_BPDMd3b2ssvt2pRH5T150fqf9H_RdMZiL27tKct2rsZ3hqoDM8B17qEeHroqxw1PTvMxu--KN7J9pDgZ7XFXdCq3n5DOyVjC8ahaiL-ARfFq41GktkLTXAkbqqxgJj67EE2T5bGEwd2kjE-jIbMmA==&uniplatform=NZKPT&language=CHS
9	逐梦深蓝 拓展向海图强新空间	陈潇		2026-01-22	日照日报	报纸	新空间;市政协;三文鱼;	向海图强，逐梦深蓝。拓展向海图强新空间，成为市两会代表委员们关注热议的焦点之一。从海洋资源的开发利用，到推动三文鱼全产业链发展，再到海洋信息化、智能化建设，代表委员们各抒己见，建言献策。 “听到政府工作报告中关于推动三文鱼全产业链发展的部署时，我心里一下......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0oPA6De0Dlb1t7tKg_2Dln_BPDMd3b2stFvKmzfitd8yjaPXFlDS08SOWM1O4_OBVXXni8EHwfpWDmm1eF39CcdWUA9Q0f4YBEaLKRSminjQSMNBWzTjh8yEtgAjt18frmZKUogGJP5Q8DtB_v4e3UcGFk-PQCucf6m55MwbaJGg==&uniplatform=NZKPT&language=CHS
10	“攀高向新”开新局	姚文凤		2026-01-21	日照日报	报纸	岚山港;民生福祉;产业升级;项目清单;城乡融合;热耦合;三文鱼;	深冬的寒意，掩不住岚山这片热土上涌动的发展激情。在区委经济工作会议现场，一种“等不起、慢不得”的紧迫感与“顶压奋进、攀高向新”的豪情交织共振，勾勒出这座滨海新城新一年的奋进图景。 去年，在经受了产业结构深度调整、大宗商品价格波动等多重考验后，岚山全年GDP预......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0oPA6De0Dlb1t7tKg_2Dln_BPDMd3b2stFvKmzfitd8yjaPXFlDS08A9BKGyoSNB4L1x0GwVwSlxc-Y5OxhNIc5nwqgTw3YQqLtDdLi6WMiuom7OfriciP2BIsU6MtkRE89Yro7LSupFSA3wIMccXXd980KeeRnifNXuyCjIK4qw==&uniplatform=NZKPT&language=CHS
1	提升口岸服务能级 成都打出“加减乘法”组合拳	杨富		2026-02-28	成都日报	报纸	跨境电商;三文鱼;减乘法;组合拳;	2月27日，四川首个空港型综保区——成都天府国际空港综保区正式封关运行。这进一步完善了开放平台布局，为成都打造全方位门户复合型国际航空枢纽补齐了保税功能，成都“三区四园”组成的高能级保税平台由此全面成形。 近年来，从打造三文鱼等特色单品进口集散中心，到打通进......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0Y4iezetcajKgp2RMo4ZY6sM3ceHq84-Tz70Eyv1tRt1ZMXxRsl7O0GS_IcDfS2_NlN6vaD5Hoi-jpmUWi1SV8sQhBb9EAzXxBPmPS8lnG9tWebrHXWo_EkGJOiWdaviQ0rf8NCW1ad8oeOQqNqhO4mjQMQPTEjah8BKH9xRlrsA==&uniplatform=NZKPT&language=CHS
2	西部最大三文鱼加工中心忙翻了	赖永强;陈碧红		2026-02-25	四川日报	报纸	三文鱼;加工中心;	“你们是来应聘的吗？” “啊？不是，我们是来找董事长的，今天约好了采访。” “今天来应聘的人太多了，有几十上百个……” 农历正月初七，春节假期最后一天。下午1点半，四川美沿远洋食品有限公司大门外，门卫和四川日报全媒体采访组进行了一次有意思的对话。 这家三文......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2pVQ_cOdODLbhcOOS6xJGISSt53Li3WZDRtK4k-fhiEY2GZXusO2AN-4rzTOTzp5V6wN1RkLypZP2RFl93qHY9Na5hqfCi_J6gQLuafaINQnE90uCOIIbiFhfBpT32ddaytFkEDpFqAZWaQfvfUYYR53x_Lsu7Skb2UAy1K9WCCw==&uniplatform=NZKPT&language=CHS
3	腐植酸、三文鱼多肽氨基酸的互作效应及其与复合肥配施对番茄产量和品质的影响	李士兆;刘涵宇;贾丽娜		2026-02-20	腐植酸	期刊	腐植酸;三文鱼多肽氨基酸;互作机制;番茄;产量;品质;	为揭示功能性肥料中腐植酸(HA)与三文鱼多肽氨基酸(SPA)的互作机制，以番茄为供试作物，采用随机区组设计开展田间试验，系统探究二者在化学结合、土壤调控及作物生理方面的协同效应。结果表明：HA与SPA通过羧基-氨基缩合反应及氢键形成稳定复合物，24 h游离氨基酸释放率较单独SPA降低32.5%，显著提升养分缓释性能；二者协同改良土壤理化性质，有机质含量提升25.3%、脲酶活性增加45.3%；二者协同促进番茄生长，叶绿素含量提升24.0%、超氧化物歧化酶(SOD)活性增强31.2%，同时改善果实品质。HA与SPA质量比1∶1时协同效应最强，番茄总产量较普通配方肥增加25.3%。本研究明确了二者多维度互作规律，为动物源多肽-腐植酸复合功能性肥料配方设计及产业化应用提供核心科学依据。	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2pVQ_cOdODLbhcOOS6xJGINSZez56H2VeJdwyHHP3Vr4GA-iLYV7n0_fTk7Wv9YuNAHtcCacf3J0rMSQCYgV-wmaLdqx-3eA0PS5HEDyeo68bzBKbVXDrR7KVgsvcH0HicRLd9fRr1895F44-YWoz_w99O-lI62cOsIHqYfxPSFg==&uniplatform=NZKPT&language=CHS
4	提质创优，农业经济稳健增长	许静;蒋月阳		2026-02-06	日照日报	报纸	三文鱼;核心优势;生产力;	季季接续，稳扎稳打。 2025年，日照经济顶压前行，交出一份含金量十足的成绩单。作为“基本盘”“压舱石”，农业经济功不可没。 数据印证着发展脉动——2025年，全市农林牧渔业总产值达464.72亿元，同比增长5.0%，增速居全省第1位! 亮眼的成绩背后，是农业经济内生动力加......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0__EGRepwqTl2a2Pc9QbgmHT033ruT6YC3id7hxH0B-0zQpORWTqzBo6brvsPNe1rrwRw-EbdEXyrwGWdvRHaJ1e6vsl5tAz5F2l6FgV24VoB4-KRbsCid9_vvS3LBk-itd7zA7CmhOGIxe16BkjUil4YPHuW32HqfpHVqcM0QAw==&uniplatform=NZKPT&language=CHS
